"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"I",NA,0.31,NA,NA,0.123,0.057,0.0995,10
"I",0.44,0.355,0.12,0.495,0.231,0.11,0.125,NA
"M",0.505,0.365,0.115,NA,0.25,NA,NA,8
"F",0.575,NA,0.165,1.078,NA,0.2095,0.306,9
"I",0.515,0.36,0.125,0.4725,0.1815,NA,0.138,9
"F",0.625,0.49,0.145,0.92,0.437,0.1735,0.28,10
"F",0.405,NA,0.11,NA,0.151,0.063,0.117,9
"M",0.515,0.395,NA,1.007,0.472,NA,NA,8
"F",0.7,0.585,0.185,1.8075,0.7055,NA,0.475,29
"M",0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
"I",0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,NA
"I",0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7
"I",0.56,0.44,0.13,NA,NA,0.149,0.2,8
"M",NA,0.45,0.14,0.824,0.3465,0.1765,0.263,10
"M",0.46,0.365,0.125,0.467,NA,0.0945,NA,NA
"I",0.59,0.45,NA,1.022,0.428,0.268,0.265,10
"F",0.675,0.51,0.15,1.1965,NA,NA,0.386,11
"M",0.545,0.415,0.14,NA,NA,0.127,0.218,9
"M",0.545,0.41,NA,0.793,0.434,0.1405,0.19,9
"I",0.435,0.33,0.11,0.413,0.2055,0.096,0.096,NA
"F",0.6,NA,0.155,NA,0.441,0.19,0.39,11
"I",NA,0.405,0.15,0.6755,0.3015,0.1465,0.21,10
"I",0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8
"I",0.465,0.355,0.09,0.4325,0.2005,0.074,0.1275,9
"F",NA,0.415,NA,0.775,NA,0.179,0.26,23
"M",0.62,0.48,0.15,1.1015,0.4965,NA,0.305,10
"M",0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,NA
"I",0.495,0.38,NA,0.512,0.233,0.1205,0.136,7
"M",0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
"I",NA,0.215,0.095,0.305,0.14,0.067,0.0885,6
"F",NA,0.34,0.14,0.482,0.186,0.1085,0.16,9
"M",0.56,0.45,NA,0.922,0.432,NA,0.26,15
"I",0.55,0.425,0.15,0.639,0.269,0.1345,0.217,9
"I",NA,0.185,0.06,NA,0.0295,5e-04,0.02,4
"M",0.415,0.32,0.1,NA,0.1215,0.0575,0.104,11
"M",0.295,0.225,NA,0.1385,NA,NA,0.05,NA
"F",0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19
"I",0.44,0.32,0.095,0.3275,NA,0.059,0.1,8
"M",0.565,NA,0.145,0.9255,0.4345,0.212,0.2475,9
"F",NA,0.47,0.135,0.97,0.4655,NA,0.264,11
"I",0.41,0.3,0.09,0.304,NA,0.071,0.0955,8
"F",0.64,0.495,0.17,NA,0.49,0.377,0.2875,11
"M",0.65,0.515,0.175,1.466,0.677,NA,NA,10
"I",0.52,0.395,0.125,0.663,0.3005,0.131,NA,9
"M",0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
"I",0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8
"F",0.65,NA,0.19,1.464,0.6415,NA,0.4245,9
"I",0.285,0.205,0.07,0.106,0.039,NA,0.034,5
"I",0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4
"F",0.54,NA,0.15,0.8115,0.3875,0.1875,0.2035,9
"F",0.585,0.475,NA,0.9585,0.4145,0.1615,0.33,11
"F",NA,0.42,0.16,0.756,NA,0.173,0.275,9
"F",NA,0.565,NA,1.79,0.844,0.3535,NA,9
"I",0.515,0.39,0.125,0.5705,0.238,0.1265,NA,NA
"M",0.475,0.385,0.145,0.6175,NA,0.108,0.215,NA
"I",0.485,0.375,0.11,0.464,0.2015,0.09,0.149,8
"I",0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
"I",0.47,0.355,0.18,0.48,NA,0.105,0.1505,8
"M",0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
"I",0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6
"I",NA,0.265,0.08,0.2015,0.09,0.0475,0.055,5
"M",NA,0.45,0.155,NA,0.326,0.1895,0.355,14
"F",0.65,NA,NA,1.16,0.4785,0.274,0.349,11
"F",0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
"M",0.545,0.41,0.14,0.737,0.349,0.15,NA,9
"M",0.53,NA,0.14,0.681,0.3095,0.1415,0.1835,6
"M",0.665,0.52,0.175,1.3725,0.606,0.32,0.395,12
"F",0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11
"I",NA,0.325,NA,NA,NA,0.1065,0.114,7
"I",0.495,0.38,0.145,NA,0.205,0.148,0.1505,8
"M",0.625,0.49,0.165,1.1835,0.517,0.2375,NA,11
"F",NA,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12
"M",0.59,0.47,NA,1.206,0.479,0.2425,NA,NA
"F",0.62,NA,0.165,1.139,0.4995,NA,0.357,11
"I",0.28,0.205,0.055,0.1135,0.045,NA,0.0335,7
"I",0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
"M",0.48,0.37,0.135,0.6315,0.3445,0.1015,NA,7
"F",0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14
"M",0.585,NA,NA,0.922,0.3635,0.213,0.285,10
"M",0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
"M",0.545,0.46,0.16,0.8975,NA,0.1655,0.345,10
"F",0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
"F",0.655,0.525,0.175,NA,0.5855,0.2605,0.394,10
"M",0.625,NA,0.12,0.8765,0.456,0.18,0.233,10
"I",0.255,0.195,0.055,0.0725,NA,0.017,0.021,4
"I",NA,0.44,0.15,0.755,0.3425,0.16,0.224,8
"F",0.68,0.56,0.195,1.664,0.58,0.3855,0.545,11
"F",0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17
"M",0.475,0.37,0.125,NA,0.266,0.1725,NA,10
"M",NA,0.145,0.05,0.032,0.01,0.008,NA,NA
"I",0.375,0.28,NA,0.3155,0.187,0.046,0.067,7
"M",0.61,0.48,0.14,1.031,0.4375,NA,0.27,8
"M",0.63,NA,0.175,1.221,NA,0.252,0.34,12
"I",0.575,0.475,0.17,0.967,0.3775,0.284,0.275,13
"F",0.535,0.435,0.16,0.8105,0.3155,NA,0.24,10
"I",0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5
"F",0.64,0.5,0.18,1.4995,0.593,NA,0.431,11
"I",NA,0.185,0.06,0.088,0.0365,0.021,0.023,5
"I",0.585,0.46,0.14,0.7635,0.326,0.153,NA,9
"M",NA,0.495,0.155,1.0485,0.487,0.212,0.3215,11
"M",0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,9
"F",0.72,0.595,0.225,1.969,0.8045,0.423,0.66,NA
"M",NA,0.37,0.125,0.5095,0.2165,0.1125,0.165,NA
"M",0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9
"F",0.525,0.425,0.145,0.7995,0.3345,NA,NA,15
"I",0.62,0.485,NA,NA,0.4675,0.2655,0.39,NA
"I",0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
"F",0.525,NA,0.15,0.7055,0.329,0.147,0.199,10
"I",0.285,NA,NA,0.096,0.0405,0.0205,0.03,5
"M",0.655,0.505,0.165,1.27,0.6035,0.262,0.335,10
"M",NA,0.505,NA,1.5595,0.695,NA,0.395,11
"F",0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
"I",0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7
"F",0.565,0.45,NA,0.9285,0.302,0.1805,NA,12
"I",0.505,NA,0.15,0.685,0.362,0.131,0.156,8
"I",0.34,0.26,NA,0.2,0.08,0.0555,0.055,6
"I",0.28,0.215,0.08,0.132,0.072,0.022,0.033,NA
"F",0.565,0.44,0.16,0.915,NA,0.1935,NA,12
"F",0.635,0.5,0.15,1.376,0.6495,0.361,0.31,NA
"M",0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
"M",0.625,0.5,0.18,1.3705,NA,0.303,0.3705,12
"M",0.3,0.24,0.09,0.161,NA,0.039,0.05,6
"F",0.53,NA,0.135,NA,0.313,0.1715,0.2185,9
"M",0.655,0.52,0.18,1.492,0.7185,0.36,0.355,NA
"M",0.625,0.495,0.155,1.025,0.46,0.1945,0.34,NA
"F",0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
"M",0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
"F",0.67,NA,0.165,1.5015,0.518,0.358,0.505,14
"F",0.515,0.395,0.165,NA,0.1905,0.17,NA,10
"F",0.6,0.47,NA,NA,0.492,0.2595,0.3375,10
"I",0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
"I",0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8
"I",0.28,0.21,0.075,0.1195,0.053,0.0265,NA,6
"F",NA,0.485,0.145,0.776,0.3545,0.1585,0.239,9
"I",0.315,0.235,0.055,NA,0.065,0.027,0.039,NA
"F",0.635,NA,0.155,1.2895,0.594,0.314,0.345,11
"I",0.415,0.325,0.11,0.316,0.1385,NA,0.0925,8
"I",0.205,0.15,NA,0.042,0.0255,0.015,0.012,5
"F",0.445,0.355,0.15,0.485,0.181,NA,0.155,11
"M",0.65,0.495,0.16,1.304,0.57,NA,0.3725,9
"I",0.34,0.25,NA,0.2225,0.104,0.0425,0.055,7
"M",NA,0.46,0.15,1.247,0.5335,0.2735,0.29,9
"F",0.53,0.43,0.17,0.775,0.35,0.152,NA,17
"I",0.475,0.375,0.11,0.494,0.211,0.109,0.1545,8
"M",0.67,0.54,NA,1.217,0.532,0.2735,0.3315,11
"M",NA,0.525,0.2,NA,0.6205,0.297,NA,NA
"I",NA,0.46,0.14,NA,0.3915,0.165,0.238,10
"F",0.435,0.325,0.115,0.3915,0.154,0.094,NA,7
"M",NA,0.425,0.16,NA,NA,0.2035,0.215,NA
"F",NA,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
"I",0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9
"F",0.595,0.5,0.18,1.053,0.4405,0.192,0.39,13
"M",0.31,0.225,NA,0.1345,0.054,0.024,0.05,7
"F",0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
"F",0.475,0.365,0.13,NA,0.1905,0.114,0.1475,12
"I",0.53,NA,0.13,0.8365,0.3745,0.167,NA,11
"M",0.515,NA,0.125,0.955,0.341,NA,0.26,13
"M",0.74,0.535,NA,1.65,0.734,0.4505,0.335,13
"M",0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,10
"I",0.365,0.27,NA,0.2225,0.0935,NA,0.066,7
"I",0.55,0.44,0.165,0.8605,0.312,0.169,0.3,17
"M",0.58,0.44,NA,1.0465,NA,0.2185,0.2795,10
"I",0.54,0.41,0.135,0.7025,NA,0.177,0.2,NA
"M",0.44,0.35,0.11,0.4585,0.2,0.0885,NA,9
"F",0.475,NA,0.115,NA,0.281,NA,0.1335,NA
"M",0.535,NA,0.125,NA,0.355,0.1895,0.1795,8
"I",0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
"M",0.61,0.485,0.175,1.2445,NA,0.297,0.345,12
"M",0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11
"M",0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7
"I",0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
"M",0.54,0.42,0.12,0.8115,0.392,NA,0.2235,9
"M",0.635,NA,NA,1.275,0.509,0.286,0.34,NA
"F",NA,0.525,0.21,1.644,0.818,0.3395,NA,10
"M",0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13
"M",0.685,0.535,0.175,1.432,0.637,NA,NA,NA
"M",0.645,0.51,0.195,1.226,0.5885,0.2215,NA,10
"F",0.62,0.47,0.225,1.115,0.378,0.2145,NA,15
"M",0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
"M",0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,9
"M",0.65,0.525,NA,1.3685,NA,0.296,0.4,11
"M",0.55,0.425,0.155,0.9175,0.2775,0.243,NA,13
"I",NA,0.34,0.125,0.4045,0.171,NA,0.1345,8
"F",0.49,0.365,NA,0.6835,0.165,0.1315,0.205,21
"I",0.375,0.275,0.085,0.22,NA,0.05,0.0605,7
"I",NA,0.205,0.08,0.127,0.052,NA,0.042,9
"F",0.45,0.36,0.125,0.5065,0.222,0.105,NA,10
"M",0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13
"I",0.55,0.465,0.15,0.936,0.481,0.174,0.2435,9
"I",0.375,NA,0.095,0.2295,0.095,0.0545,0.066,7
"F",0.66,NA,0.195,1.7605,0.692,0.3265,0.5,NA
"M",0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,9
"I",0.425,NA,0.115,0.3685,0.162,0.0865,0.1045,NA
"M",0.595,0.475,0.14,NA,0.3625,0.189,NA,9
"I",0.44,0.35,0.12,0.375,NA,0.0965,0.115,9
"M",0.535,0.405,0.185,NA,0.3175,0.1725,0.29,16
"I",0.46,0.355,0.14,NA,0.216,0.133,0.115,13
"M",NA,0.465,0.125,0.799,0.3245,NA,0.23,10
"F",0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10
"I",0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
"M",0.49,0.465,0.125,0.5225,NA,0.13,0.141,7
"F",0.535,NA,0.155,0.7765,0.302,NA,0.25,16
"M",NA,0.49,0.185,1.185,0.482,0.2015,0.361,10
"F",0.44,0.34,0.135,0.3975,NA,0.0945,0.135,8
"I",0.485,0.355,0.12,NA,0.21,0.122,NA,9
"M",0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
"M",0.625,NA,0.185,1.169,0.5275,NA,0.344,11
"I",0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
"F",0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9
"I",0.495,0.375,0.12,0.589,0.3075,0.1215,NA,8
"F",NA,0.42,0.14,0.868,0.33,0.243,0.21,NA
"F",0.475,0.375,0.125,NA,0.2775,0.085,0.155,10
"M",NA,0.565,0.205,2.198,1.012,0.5225,0.5475,11
"M",0.575,0.44,0.145,0.87,NA,0.2195,NA,8
"M",0.58,0.475,0.15,NA,NA,0.2165,0.35,11
"I",0.605,NA,0.165,1.071,0.482,0.1935,0.352,NA
"I",0.365,0.27,0.09,0.2155,0.1005,NA,0.0655,6
"I",NA,0.43,0.145,0.712,0.3025,0.152,0.225,10
"F",0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
"F",0.595,0.465,0.15,1.0765,0.491,0.22,NA,9
"I",NA,0.345,0.13,0.4495,NA,0.0835,0.134,6
"F",0.445,0.33,0.105,NA,NA,0.103,0.123,9
"M",0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
"F",0.71,0.555,0.17,1.47,0.5375,0.38,0.431,NA
"I",0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7
"I",0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
"F",0.48,0.38,0.145,0.59,0.232,NA,0.23,12
"F",NA,0.365,0.115,0.5885,NA,0.121,0.1325,8
"I",0.5,0.385,0.12,NA,0.197,0.1305,0.165,8
"F",0.655,0.525,0.19,1.3595,0.564,NA,0.3985,10
"M",NA,0.525,0.185,1.4065,0.684,0.3,0.3745,10
"M",0.71,0.57,0.195,1.348,NA,0.4435,0.4535,11
"I",0.605,NA,0.145,0.8025,0.379,0.2265,0.22,9
"M",0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,NA
"M",0.64,0.515,0.18,NA,0.5475,0.2925,0.3685,10
"M",0.645,0.515,0.175,1.6115,0.6745,0.384,0.385,NA
"I",0.28,NA,0.085,NA,0.0415,NA,0.034,5
"I",0.575,0.44,0.125,NA,NA,0.1715,0.1965,9
"M",0.56,NA,0.145,NA,0.464,0.1775,NA,9
"M",0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
"M",0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
"M",0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
"M",0.585,0.455,0.15,0.987,NA,0.2075,0.31,11
"M",0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
"M",0.63,0.485,NA,NA,0.6565,0.2315,0.3035,10
"M",0.615,NA,0.19,NA,0.5305,0.2375,0.47,18
"M",0.475,0.365,0.14,0.6175,NA,0.1445,0.19,NA
"F",0.485,NA,0.16,NA,0.2475,0.128,0.235,14
"M",NA,NA,NA,1.274,0.586,0.281,NA,10
"M",0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8
"M",0.695,0.55,NA,1.5515,0.566,0.3835,0.445,NA
"M",NA,0.455,0.155,0.8855,0.388,0.188,0.275,10
"I",0.375,0.285,0.09,0.237,0.106,0.0395,0.08,8
"M",0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,NA
"F",0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18
"F",NA,NA,0.15,1.043,0.4795,0.223,0.305,NA
"M",0.64,0.505,0.155,NA,NA,0.211,0.346,11
"F",NA,0.515,NA,1.336,0.553,0.3205,NA,11
"M",0.66,0.515,0.165,1.4465,0.694,0.298,NA,10
"I",0.275,0.2,0.065,0.1035,0.0475,0.0205,NA,7
"F",0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
"F",0.61,0.485,0.165,1.087,0.4255,0.232,0.38,NA
"M",0.55,NA,0.13,0.7085,0.305,0.1455,0.205,NA
"F",NA,0.525,0.215,1.5765,0.5115,NA,0.665,16
"F",0.63,0.475,0.15,1.072,NA,0.2975,NA,8
"F",0.65,0.565,0.2,1.6645,0.753,0.367,0.43,12
"I",0.575,0.45,0.135,0.8715,0.45,NA,0.225,NA
"M",0.64,0.51,0.17,1.3715,0.567,0.307,NA,10
"M",0.58,0.465,0.175,1.035,0.401,NA,0.385,17
"I",0.595,0.46,NA,0.8335,0.377,0.1925,NA,8
"M",0.7,0.55,0.2,1.523,0.693,0.306,0.4405,13
"M",0.58,0.46,NA,1.0165,NA,0.221,0.265,9
"M",NA,0.285,0.095,0.271,0.11,NA,0.08,8
"I",0.45,0.35,NA,0.525,0.2085,NA,0.1655,15
"I",0.37,NA,0.1,0.22,0.094,0.045,0.065,7
"M",0.505,NA,0.125,0.635,0.29,0.1555,0.175,9
"I",0.385,0.3,0.1,NA,0.1215,0.063,0.09,7
"F",0.275,0.195,0.07,0.08,0.031,0.0215,NA,NA
"F",0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18
"I",0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
"M",0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,NA
"M",0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,NA
"F",0.605,0.45,0.165,1.2225,0.357,0.202,NA,13
"F",NA,0.475,NA,1.1805,NA,0.2475,0.425,19
"I",0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,7
"M",NA,0.24,0.075,NA,0.0475,0.0355,NA,9
"F",NA,0.47,0.145,0.984,0.475,0.2,0.265,11
"M",0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
"M",0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,9
"M",0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
"I",0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
"M",0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,NA
"I",0.57,0.445,NA,0.7405,0.306,0.172,0.1825,12
"M",0.45,0.35,NA,0.3675,0.1465,NA,0.12,10
"F",0.63,0.5,0.155,1.005,0.367,0.199,NA,16
"M",0.5,0.38,0.125,0.577,NA,0.1265,0.1535,9
"M",0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10
"M",0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
"F",0.56,0.465,NA,1.0315,0.432,0.2025,0.337,9
"M",0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
"I",0.46,NA,NA,0.4255,NA,NA,0.13,7
"I",0.63,NA,0.15,1.0315,0.4265,0.24,0.325,11
"M",0.54,0.455,0.14,0.972,0.419,0.255,0.269,10
"I",0.395,0.3,0.09,0.253,0.1155,0.05,0.075,6
"M",0.51,0.395,NA,0.6185,NA,NA,0.24,12
"I",0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
"M",0.515,0.39,0.14,0.678,0.341,0.1325,0.119,8
"F",0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10
"I",0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
"M",0.555,NA,0.15,1.092,NA,0.212,NA,NA
"M",0.35,0.265,0.09,0.197,0.073,0.0365,0.077,7
"I",0.375,NA,0.095,0.213,0.096,0.041,0.061,5
"M",0.645,0.5,0.19,1.5595,0.741,0.3715,NA,14
"I",0.56,0.44,0.14,0.825,0.402,0.139,0.245,10
"M",NA,0.45,0.13,0.92,0.378,0.2385,0.29,NA
"F",0.62,NA,0.16,1.3725,0.6285,0.275,0.3685,11
"M",0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8
"F",0.46,0.375,0.12,0.4605,NA,0.11,0.15,7
"I",NA,0.135,NA,NA,0.0145,0.007,0.01,NA
"F",0.605,NA,0.185,1.1185,0.469,0.2585,0.335,9
"F",0.48,NA,0.135,0.507,0.1915,0.1365,0.155,12
"I",0.49,NA,0.12,0.511,0.2205,0.103,0.1745,9
"I",NA,0.405,0.145,0.6965,0.3045,0.1535,0.21,NA
"F",0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9
"M",0.52,0.4,NA,NA,0.4515,0.1615,NA,9
"I",NA,0.405,0.14,0.5775,0.2,NA,0.179,11
"F",0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11
"I",0.39,NA,NA,0.252,0.1065,0.053,0.08,7
"I",0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7
"F",0.385,0.305,NA,0.3315,0.1365,0.0745,0.1,7
"M",0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
"M",0.59,0.45,NA,0.998,NA,0.214,NA,9
"I",0.455,NA,0.135,NA,NA,0.1715,0.211,8
"I",0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
"I",0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7
"I",0.52,0.395,0.145,0.77,NA,0.142,0.1895,7
"F",0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10
"F",0.585,0.435,0.14,0.6955,NA,0.129,0.2245,8
"F",0.595,0.435,0.15,0.9,0.4175,0.17,NA,NA
"I",0.42,0.305,0.11,0.28,0.094,NA,0.0955,9
"I",0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,NA
"M",0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12
"M",0.6,NA,0.155,1.036,0.4375,0.196,0.325,20
"M",0.585,NA,0.165,1.409,NA,0.229,0.295,10
"F",0.525,0.415,0.15,NA,0.2355,0.171,NA,13
"M",0.335,0.26,NA,0.22,0.0855,0.04,0.085,6
"M",0.575,0.47,NA,0.9785,NA,NA,NA,9
"I",0.51,0.385,0.145,0.7665,NA,0.14,0.1805,8
"M",NA,0.43,0.135,NA,0.28,0.2165,0.25,NA
"F",0.575,0.445,0.135,0.883,0.381,0.2035,0.26,NA
"I",0.32,0.255,0.1,0.1755,NA,0.0415,0.065,7
"I",0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
"M",0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,NA
"F",0.36,NA,0.09,0.2165,0.096,0.037,0.0735,10
"M",0.645,0.51,0.19,1.4745,NA,0.345,NA,9
"I",0.4,0.31,0.1,0.306,0.13,NA,NA,6
"I",0.575,NA,0.16,0.9895,0.495,0.195,0.246,9
"F",0.35,0.265,0.09,0.1855,0.0745,0.0415,NA,7
"F",0.695,0.525,0.205,1.8185,NA,0.4025,NA,13
"I",0.55,0.415,0.15,0.7915,0.3535,NA,0.236,NA
"F",0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
"F",0.635,0.49,0.175,NA,0.5805,0.313,0.305,10
"I",0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
"F",NA,0.45,0.1,0.9315,0.431,0.222,0.235,12
"I",0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6
"M",0.61,NA,0.155,0.983,0.4565,0.228,0.266,10
"M",0.7,0.6,NA,2.003,0.8105,0.4045,0.5755,NA
"M",NA,0.4,0.165,0.825,0.254,0.205,0.285,13
"M",0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10
"I",0.48,0.37,NA,0.474,NA,0.1035,0.175,9
"M",0.57,0.42,0.155,1.008,0.377,0.193,0.34,13
"M",0.585,0.455,0.14,0.97,0.462,0.185,0.295,9
"M",NA,0.495,NA,NA,0.5265,0.2785,0.455,15
"F",0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
"M",0.64,0.51,NA,1.613,0.6215,0.361,0.47,14
"M",0.67,0.52,0.165,1.39,NA,0.2865,0.3,11
"F",0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
"M",0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11
"I",0.505,0.405,0.13,NA,0.3015,NA,0.18,8
"I",0.47,0.375,NA,0.468,0.1665,0.108,NA,10
"F",0.675,0.525,0.17,1.8095,0.784,0.391,NA,12
"M",0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13
"I",0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9
"F",0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
"F",0.615,NA,0.15,1.3435,0.629,0.2605,0.345,10
"F",0.62,0.5,0.15,1.293,NA,0.3135,NA,10
"M",NA,0.365,0.125,0.516,0.2155,0.114,0.155,10
"F",0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
"F",NA,0.5,0.165,1.1765,0.488,0.244,0.345,17
"M",0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10
"F",0.585,0.42,0.155,0.9845,0.442,0.2155,0.2875,13
"M",NA,0.37,0.125,0.649,0.347,0.136,0.142,NA
"M",0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13
"I",0.235,0.175,0.065,0.0615,NA,0.02,0.019,6
"I",0.41,0.335,0.11,0.33,NA,0.0705,0.17,7
"F",NA,0.49,0.19,1.1345,0.4695,0.257,0.348,11
"M",0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7
"F",0.635,NA,0.19,NA,0.593,0.3045,0.352,8
"F",0.495,0.375,0.15,0.597,NA,0.135,0.178,11
"F",0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
"F",NA,0.335,0.115,0.4335,0.2105,0.1205,0.12,10
"F",0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8
"I",0.295,0.22,0.065,0.1295,0.052,0.028,NA,NA
"I",0.31,0.23,0.07,0.1245,NA,0.0265,0.038,6
"I",0.32,0.205,0.08,0.181,0.088,0.034,0.0495,5
"I",0.37,0.29,NA,0.249,0.1045,0.058,NA,6
"F",0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10
"I",0.55,NA,NA,0.783,0.3045,0.157,NA,11
"M",0.48,0.37,0.13,0.643,NA,0.1155,0.135,8
"F",NA,NA,0.165,NA,0.4905,0.1955,0.3035,12
"M",NA,0.485,0.18,1.2435,NA,0.308,0.37,NA
"I",0.5,0.39,0.12,0.5955,0.2455,0.147,0.173,8
"M",0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
"F",0.645,0.525,0.2,1.449,NA,0.2565,0.505,13
"M",0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
